Description,Price(Rs),Rating,Review Count,Url of the Product
"(Renewed) Dell Latitude E5470 Intel Core i5 6th Gen.6200u Processor 14.1 Inches HD Screen Notebook Computer (8 GB Ram & 256 GB SSD, Windows 10 Pro, 1.71Kg)","21,210",3.7 out of 5 stars,308,https://www.amazon.in/Renewed-Dell-Latitude-Laptop-E5470/dp/B094CBQ32N/ref=sr_1_18?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232953&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-18
"Dell Inspiron 3521 Laptop - Intel PQC-N5030, Windows 11 + Office 21, 8GB GDDR4, 256GB SSD, 15.6""/39.62Cms HD AG Narrow Border (D560756WIN9BE, Carbon Black, 1.61Kgs)","31,490",4.0 out of 5 stars,72,https://www.amazon.in/Dell-3521-PQC-N5030-Anti-Glare-D560756Win9Be/dp/B09TNX9B9F/ref=sr_1_19?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232953&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-19
"Dell New Windows 11 Inspiron 3525 Laptop, Intel Athlon Silver 3050U, Win11 + Office 21, 8GB GDDR4, 256GB SSD, Radeon Graphics, 15.6"" (39.62Cms) HD AG - D560766WIN9BE1.68Kgs","30,990",4.1 out of 5 stars,164,https://www.amazon.in/Dell-Inspiron-Graphics-Anti-Glare-D560766Win9Be/dp/B09TNWYR3Q/ref=sr_1_20?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232953&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-20
"Lenovo IdeaPad Slim 1 AMD Ryzen 3 3250U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Cloud Grey/1.6Kg), 82R10049IN","30,820",4.0 out of 5 stars,79,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTI3MjIxODg1MDA0MDcyOjE2NjUyMzI5NTM6c3BfYnRmOjIwMDc5ODUxOTM3NTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FLenovo-IdeaPad-39-62cm-Windows-82R10049IN%2Fdp%2FB0B4JRH895%2Fref%3Dsr_1_21_sspa%3Fcrid%3D3JKZD4EXHPZC%26keywords%3DLaptop%26qid%3D1665232953%26qu%3DeyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%253D%253D%26sprefix%3D%252Caps%252C432%26sr%3D8-21-spons%26psc%3D1
"Lenovo IdeaPad 3 11th Gen Intel Core i3 15.6"" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg), 81X800LGIN","36,990",4.1 out of 5 stars,555,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTI3MjIxODg1MDA0MDcyOjE2NjUyMzI5NTM6c3BfYnRmOjIwMDYzMDI4MTQxMDk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FLenovo-IdeaPad-Warranty-Platinum-81X800LGIN%2Fdp%2FB0B2RBP83P%2Fref%3Dsr_1_22_sspa%3Fcrid%3D3JKZD4EXHPZC%26keywords%3DLaptop%26qid%3D1665232953%26qu%3DeyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%253D%253D%26sprefix%3D%252Caps%252C432%26sr%3D8-22-spons%26psc%3D1
"Lenovo IdeaPad Slim 5 AMD Ryzen 7 5700U 15.6""(39.62cm) FHD IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/Fingerprint/HD Camera/3 Month Game Pass/Graphite Grey/1.66Kg), 82LN00JSIN","59,990",4.5 out of 5 stars,10,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTI3NzM2NDg3NTQ1NDU3OjE2NjUyMzI5NTY6c3BfYXRmOjIwMDc5ODA3NTMzMTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FLenovo-IdeaPad-Fingerprint-Graphite-82LN00JSIN%2Fdp%2FB0BBFTPJ3D%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3JKZD4EXHPZC%26keywords%3DLaptop%26qid%3D1665232956%26qu%3DeyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%253D%253D%26sprefix%3D%252Caps%252C432%26sr%3D8-1-spons%26psc%3D1
"HP 15s, 11th Gen Intel Core i3, 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Alexa Built-in/Win 11/Intel UHD Graphics/Dual Speakers/ MS Office 2021/1.69 Kg, 15s-fr2511TU","39,999",3.9 out of 5 stars,22,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTI3NzM2NDg3NTQ1NDU3OjE2NjUyMzI5NTY6c3BfYXRmOjIwMDgwMzczMzgyOTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FHP-15-6-inch-Micro-Edge-Anti-Glare-15s-fr2511TU%2Fdp%2FB0B4N1FRW8%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3JKZD4EXHPZC%26keywords%3DLaptop%26qid%3D1665232956%26qu%3DeyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%253D%253D%26sprefix%3D%252Caps%252C432%26sr%3D8-2-spons%26psc%3D1
"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","25,990",4.0 out of 5 stars,633,https://www.amazon.in/ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_3?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232956&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-3
"Dell Vostro 3420 Laptop, Intel i3-1115G4, 8GB DDR4 & 256GB SSD, Win 11 + MSO'21, 14.0"", 35.56Cms FHD WVA AG 250 nits, Carbon Black (D552299WIN9BE, 1.48Kgs) Windows 11","36,990",2.6 out of 5 stars,3,https://www.amazon.in/Dell-i3-1115G4-35-56Cms-D552299WIN9BE-1-48Kgs/dp/B0B469F1PN/ref=sr_1_4?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232956&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-4
"ASUS Vivobook 14, 14.0-inch (35.56 cms) FHD, Intel Core i3-1005G1 10th Gen, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Grey/1.60 kg), X415JA-EK324WS","29,990",2.5 out of 5 stars,3,https://www.amazon.in/ASUS-14-0-inch-i3-1005G1-Integrated-X415JA-EK324WS/dp/B0B8ZS9YLC/ref=sr_1_5?crid=3JKZD4EXHPZC&keywords=Laptop&qid=1665232956&qu=eyJxc2MiOiI5LjE1IiwicXNhIjoiOS40MSIsInFzcCI6IjYuNjkifQ%3D%3D&sprefix=%2Caps%2C432&sr=8-5
